,word,encodec Encodec,Encodec Mel,w2v
175,stereos,"['theory', 'are', 'narrow', 'are', 'or']","['theory', 'e', 'air', 'years', 'years']","['jersey', 'existing', 'babies', 'gazes', 'narrowed']"
176,pyre,"['her', 'her', 'her', 'her', 'her']","['fire', 'fire', 'here', 'here', 'fire']","['fire', 'fire', 'fire', 'fire', 'fire']"
177,worshiping,"['raw', 'war', 'former', 'war', 'known']","['were', 'were', 'were', 'were', 'warning']","['be', 'be', 'be', 'be', 'be']"
178,astir,"['sir', 'sir', 'sir', 'river', 'sir']","['her', 'her', 'her', 'her', 'her']","['bun', 'spur', 'bur', 'reward', 'cetera']"
179,administrator,"['admire', 'wagon', 'reeling', 'machine', 'green']","['treated', 'endured', 'e', 'penetrate', 'made']","['witted', 'reduce', 'misuse', 'limit', 'mating']"
180,spruce,"['sell', 'sell', 'serge', 'use', 'forests']","['roof', 'roof', 'roof', 'roof', 'roof']","['sources', 'serge', 'recesses', 'suit', 'suit']"
181,affords,"['wines', 'wines', 'wines', 'hours', 'garlic']","['forth', 'forth', 'forth', 'wines', 'wines']","['hours', 'forefathers', 'hours', 'hours', 'hours']"
182,rejects,"['vouch', 'raw', 'organized', 'casts', 'rich']","['rich', 'erect', 'rich', 'erect', 'reached']","['scantily', 'assessed', 'facts', 'bites', 'site']"
183,citron,"['should', 'should', 'should', 'should', 'should']","['see', 'see', 'see', 'see', 'see']","['serge', 'sense', 'sense', 'sense', 'sense']"
184,l,"['all', 'all', 'all', 'all', 'all']","['ill', 'all', 'ill', 'all', 'all']","['all', 'all', 'all', 'all', 'all']"
185,foreigners,"['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']","['owner', 'hours', 'rhymes', 'elders', 'former']"
186,alaska,"['valley', 'valley', 'valley', 'level', 'valley']","['masses', 'path', 'path', 'path', 'valley']","['tahoe', 'africa', 'africa', 'hide', 'sierra']"
187,perfume,"['cool', 'menus', 'garlic', 'inn', 'firm']","['you', 'you', 'you', 'you', 'you']","['room', 'room', 'room', 'room', 'room']"
188,moselle,"['salad', 'salad', 'salad', 'salad', 'salad']","['le', 'morrel', 'morrel', 'morrel', 'morrel']","['nuova', 'well', 'well', 'well', 'nuova']"
189,pickets,"['kept', 'stick', 'picket', 'stick', 'kept']","['kept', 'kept', 'kept', 'kept', 'picked']","['picket', 'kick', 'ticket', 'ticket', 'gifted']"
190,reared,"['year', 'year', 'year', 'year', 'year']","['weird', 'year', 'year', 'year', 'year']","['revered', 'ear', 'ear', 'weird', 'ear']"
191,roast,"['were', 'were', 'were', 'were', 'or']","['were', 'were', 'were', 'were', 'were']","['row', 'were', 'were', 'were', 'were']"
192,kirkleatham,"['woollen', 'loaf', 'pressing', 'roll', 'nearly']","['re', 'clerk', 'clerk', 'tartaric', 'three']","['the', 'the', 'the', 'the', 'the']"
193,appointment,"['suppressed', 'reception', 'post', 'bright', 'return']","['preface', 'honour', 'milner', 'to', 'instance']","['drainage', 'marriage', 'complained', 'bun', 'meantime']"
194,nymph,"['him', 'him', 'him', 'him', 'him']","['meath', 'him', 'him', 'him', 'him']","['him', 'him', 'him', 'him', 'him']"
195,gloat,"['lay', 'lay', 'lay', 'lay', 'lay']","['low', 'low', 'low', 'low', 'low']","['load', 'loathe', 'low', 'little', 'little']"
196,depicted,"['it', 'it', 'limpid', 'thicker', 'it']","['it', 'it', 'it', 'it', 'it']","['deserted', 'interdicted', 'depicting', 'treated', 'interdict']"
197,coffins,"['charm', 'promise', 'cook', 'plane', 'collect']","['talk', 'talk', 'talk', 'talk', 'talk']","['coffee', 'cliff', 'cost', 'cost', 'crust']"
198,captives,"['path', 'half', 'hay', 'path', 'cuff']","['adam', 'cuff', 'path', 'path', 'houses']","['forefathers', 'masses', 'consequences', 'hide', 'consequences']"
199,damn,"['had', 'had', 'have', 'have', 'had']","['man', 'man', 'man', 'man', 'man']","['am', 'am', 'am', 'am', 'am']"
200,cliffs,"['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']"
201,grappling,"['were', 'were', 'were', 'were', 'were']","['greater', 'greater', 'drank', 'greater', 'gravel']","['growling', 'prop', 'trampling', 'whirling', 'backed']"
202,moccasins,"['toss', 'destined', 'schloss', 'sins', 'basis']","['colossus', 'since', 'since', 'mossy', 'recent']","['cost', 'sofa', 'silk', 'consisted', 'recesses']"
203,carpets,"['broth', 'her', 'her', 'up', 'her']","['talk', 'talk', 'talk', 'talk', 'dark']","['card', 'card', 'arts', 'cars', 'cars']"
204,caraway,"['are', 'are', 'are', 'are', 'are']","['e', 'carried', 'away', 'away', 'away']","['prairie', 'aware', 'harry', 'aware', 'aware']"
205,joys,"['oil', 'oil', 'theirs', 'theirs', 'oil']","['eyes', 'oil', 'joy', 'oil', 'eyes']","['joy', 'joy', 'joy', 'dough', 'oil']"
206,callimachus,"['cast', 'drive', 'helpless', 'lost', 'hang']","['us', 'casus', 'us', 'cast', 'us']","['casus', 'africa', 'africa', 'colossus', 'facts']"
207,badger,"['ushered', 'i', 'i', 'i', 'i']","['banking', 'charge', 'charge', 'charge', 'bear']","['red', 'leisure', 'band', 'bag', 'buren']"
208,carker,"['are', 'are', 'are', 'are', 'are']","['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']"
209,establish,"['a', 'a', 'a', 'a', 'a']","['out', 'out', 'out', 'out', 'out']","['a', 'a', 'a', 'a', 'a']"
210,larva,"['are', 'are', 'are', 'are', 'are']","['are', 'our', 'our', 'our', 'our']","['awe', 'law', 'law', 'law', 'law']"
211,cowboys,"['won', 'mell', 'boys', 'yell', 'waved']","['boys', 'boys', 'boys', 'megaphone', 'boys']","['boys', 'awls', 'boys', 'vial', 'wives']"
212,chiefs,"['she', 'she', 'she', 'she', 'she']","['she', 'she', 'she', 'she', 'she']","['chief', 'chief', 'chief', 'chief', 'chief']"
213,downwards,"['ally', 'lawyers', 'milborough', 'rank', 'eh']","['ally', 'lawyers', 'handled', 'somewhere', 'milborough']","['down', 'down', 'down', 'down', 'down']"
214,meaner,"['mere', 'mere', 'near', 'meaning', 'mating']","['mean', 'me', 'me', 'me', 'mean']","['meaning', 'meaning', 'meaning', 'union', 'mean']"
215,felicitations,"['his', 'his', 'his', 'his', 'his']","['solution', 'solution', 'criticism', 'incisions', 'listened']","['sensations', 'sense', 'contingent', 'cities', 'sense']"
216,literality,"['little', 'little', 'little', 'little', 'little']","['little', 'little', 'little', 'little', 'little']","['little', 'little', 'little', 'little', 'little']"
217,pebble,"['whole', 'whole', 'whole', 'whole', 'whole']","['bell', 'bell', 'bell', 'bell', 'bell']","['purple', 'purple', 'vial', 'hull', 'call']"
218,requested,"['bar', 'drizzle', 'ushered', 'papers', 'devoted']","['a', 'a', 'a', 'a', 'a']","['quest', 'quest', 'quest', 'affecting', 'suppressed']"
219,depended,"['a', 'in', 'a', 'had', 'a']","['a', 'a', 'a', 'a', 'a']","['handed', 'divided', 'headed', 'divided', 'avail']"
220,vintage,"['addition', 'did', 'did', 'did', 'did']","['vivid', 'in', 'in', 'addition', 'then']","['the', 'the', 'the', 'the', 'the']"
221,squeezed,"['see', 'see', 'see', 'see', 'see']","['sees', 'see', 'see', 'see', 'see']","['sees', 'see', 'see', 'see', 'see']"
222,rut,"['rough', 'our', 'our', 'our', 'our']","['rocks', 'rocks', 'rock', 'rocks', 'rocks']","['quaffed', 'rock', 'rug', 'rough', 'rough']"
223,wider,"['le', 'our', 'our', 'our', 'are']","['le', 'daughter', 'daughter', 'daughter', 'daughter']","['her', 'her', 'her', 'her', 'her']"
224,surgery,"['or', 'or', 'or', 'or', 'or']","['reviewers', 'revered', 'resources', 'years', 'years']","['sutter', 'serge', 'deserved', 'deserved', 'reviewers']"
225,bremer,"['are', 'are', 'are', 'are', 'are']","['rear', 'emperors', 'rumor', 'murmurs', 'her']","['murmurs', 'rumor', 'reverend', 'rear', 'her']"
226,falsehood,"['falls', 'fall', 'soils', 'decision', 'flowed']","['soul', 'whole', 'whole', 'whole', 'whole']","['falls', 'faults', 'souls', 'solve', 'souls']"
227,nancy,"['in', 'in', 'in', 'in', 'in']","['cancer', 'man', 'man', 'man', 'man']","['senses', 'man', 'man', 'man', 'man']"
228,grimly,"['arrange', 'when', 'mere', 'when', 'when']","['only', 'only', 'only', 'only', 'only']","['only', 'only', 'only', 'only', 'only']"
229,strikingly,"['glowing', 'raw', 'only', 'only', 'knowing']","['glowing', 'green', 'ruling', 'struggling', 'drinking']","['changing', 'changing', 'semi', 'skinny', 'misuse']"
230,sagging,"['mean', 'mean', 'man', 'sandy', 'mean']","['seen', 'seen', 'seen', 'seen', 'seen']","['sees', 'sees', 'seeing', 'seeing', 'seeing']"
231,cutter,"['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']"
232,christi,"['pieces', 'pieces', 'soup', 'seasoned', 'streets']","['see', 'see', 'see', 'see', 'see']","['see', 'see', 'see', 'see', 'see']"
233,continues,"['you', 'you', 'you', 'you', 'you']","['you', 'you', 'you', 'you', 'you']","['union', 'mysteries', 'union', 'new', 'new']"
234,discernment,"['an', 'an', 'an', 'in', 'an']","['turn', 'turn', 'turn', 'turnips', 'earn']","['sunrise', 'string', 'dress', 'sutter', 'merlin']"
235,concentration,"['morsel', 'sunrise', 'incarnation', 'predictions', 'cousins']","['creation', 'creation', 'converse', 'incarnation', 'patient']","['consummation', 'sensations', 'sunrise', 'manipulation', 'sense']"
236,flitted,"['it', 'it', 'it', 'it', 'it']","['it', 'it', 'it', 'it', 'it']","['deserted', 'flew', 'of', 'of', 'lids']"
237,satisfactorily,"['out', 'out', 'out', 'out', 'out']","['out', 'out', 'out', 'out', 'out']","['satisfied', 'satisfied', 'satisfied', 'satisfied', 'satisfied']"
238,fillmore,"['wines', 'wine', 'wines', 'wine', 'wall']","['more', 'more', 'more', 'more', 'more']","['more', 'level', 'more', 'more', 'walls']"
239,cosy,"['hole', 'will', 'will', 'will', 'will']","['school', 'cool', 'queens', 'glow', 'go']","['queens', 'school', 'frolic', 'fellows', 'abalone']"
240,seizes,"['release', 'possesses', 'his', 'his', 'simmonds']","['seize', 'see', 'see', 'see', 'see']","['seize', 'seas', 'diseases', 'species', 'sees']"
241,wilt,"['will', 'will', 'will', 'will', 'will']","['will', 'will', 'will', 'will', 'will']","['will', 'will', 'will', 'will', 'will']"
242,endorses,"['existing', 'honour', 'basis', 'owes', 'using']","['is', 'is', 'is', 'is', 'is']","['recesses', 'sources', 'wheels', 'adorned', 'differences']"
243,oxygen,"['hot', 'odd', 'hot', 'rock', 'shot']","['officer', 'officer', 'auction', 'officer', 'officer']","['chapman', 'gazes', 'talks', 'clock', 'sounding']"
244,cordial,"['or', 'or', 'or', 'or', 'or']","['hole', 'coralie', 'le', 'coralie', 'george']","['roar', 'coal', 'whirl', 'whirl', 'coal']"
245,baffling,"['queried', 'clarke', 'pushing', 'elevator', 'problems']","['half', 'half', 'half', 'affecting', 'half']","['lamp', 'frolic', 'beloved', 'lasted', 'powell']"
246,improve,"['two', 'proved', 'prove', 'two', 'two']","['roof', 'roof', 'roof', 'roof', 'roof']","['prove', 'prove', 'proved', 'move', 'proved']"
247,cape,"['keep', 'keep', 'keep', 'keep', 'keep']","['keep', 'keep', 'keep', 'keep', 'keep']","['keep', 'keep', 'keep', 'keep', 'keep']"
248,exchanged,"['she', 'she', 'she', 'she', 'she']","['change', 'change', 'age', 'change', 'change']","['changed', 'changing', 'change', 'change', 'change']"
249,talisman,"['lebanon', 'him', 'him', 'salmon', 'him']","['lebanon', 'salmon', 'edition', 'malice', 'morrel']","['them', 'them', 'bun', 'them', 'them']"
250,haut,"['hall', 'hall', 'how', 'how', 'how']","['how', 'how', 'how', 'how', 'how']","['o', 'o', 'o', 'home', 'hope']"
251,hissed,"['his', 'his', 'his', 'his', 'his']","['his', 'his', 'his', 'his', 'his']","['he', 'he', 'he', 'he', 'he']"
252,medals,"['laurel', 'bill', 'barrel', 'wheels', 'dull']","['little', 'little', 'little', 'little', 'little']","['awls', 'settle', 'suns', 'sold', 'senses']"
253,fetid,"['had', 'had', 'had', 'had', 'had']","['fed', 'of', 'of', 'of', 'of']","['gifted', 'guttered', 'feathered', 'fed', 'vivid']"
254,easter,"['use', 'use', 'use', 'use', 'year']","['ears', 'ears', 'ears', 'ears', 'ears']","['ear', 'ear', 'ear', 'ear', 'ear']"
255,cheap,"['she', 'she', 'she', 'she', 'she']","['leash', 'seeds', 'heap', 'burnt', 'meath']","['chief', 'chief', 'leash', 'chief', 'jig']"
256,dissatisfied,"['head', 'ladder', 'head', 'head', 'head']","['side', 'side', 'side', 'side', 'side']","['satisfied', 'satisfied', 'satisfied', 'satisfied', 'satisfied']"
257,physicians,"['us', 'us', 'us', 'us', 'us']","['benches', 'us', 'us', 'expenses', 'us']","['ewes', 'ewes', 'physician', 'dresses', 'us']"
258,russian,"['she', 'she', 'she', 'she', 'she']","['she', 'she', 'she', 'she', 'she']","['egyptian', 'rubbish', 'precious', 'earn', 'fresh']"
259,mineral,"['morrel', 'murmur', 'morrel', 'wrung', 'a']","['moral', 'ill', 'ill', 'roll', 'memorable']","['moral', 'external', 'animal', 'mosaic', 'middle']"
260,smelt,"['sleeps', 'is', 'is', 'is', 'is']","['sees', 'saw', 'saw', 'saw', 'saw']","['sees', 'saw', 'saw', 'saw', 'saw']"
261,gully,"['la', 'little', 'little', 'little', 'little']","['you', 'you', 'you', 'you', 'you']","['little', 'little', 'little', 'little', 'little']"
262,sinewy,"['indian', 'indian', 'indian', 'indian', 'indian']","['you', 'you', 'you', 'you', 'you']","['bee', 'teepee', 'sees', 'aidan', 'sees']"
263,cerinthus,"['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']","['fantasies', 'greeks', 'synagogues', 'scriptures', 'profane']"
264,ravine,"['me', 'me', 'me', 'inn', 'me']","['me', 'me', 'me', 'me', 'me']","['lean', 'lean', 'me', 'me', 'me']"
265,counter,"['ride', 'have', 'have', 'have', 'have']","['act', 'not', 'not', 'not', 'not']","['countless', 'muster', 'capture', 'pear', 'turn']"
266,dares,"['are', 'are', 'are', 'are', 'are']","['years', 'years', 'years', 'years', 'years']","['dared', 'use', 'a', 'a', 'vapours']"
267,stube,"['should', 'should', 'she', 'should', 'should']","['the', 'the', 'reached', 'reached', 'reached']","['chew', 'judicial', 'ship', 'restored', 'view']"
268,suspenders,"['christmas', 'christmas', 'christmas', 'christmases', 'christmas']","['sisters', 'sisters', 'servants', 'servants', 'servants']","['his', 'his', 'his', 'his', 'his']"
269,songs,"['us', 'home', 'raw', 'groan', 'us']","['us', 'us', 'us', 'us', 'us']","['balls', 'size', 'collins', 'us', 'fantasies']"
270,paintings,"['shaggy', 'waving', 'painting', 'anything', 'meant']","['things', 'things', 'things', 'things', 'things']","['me', 'me', 'me', 'me', 'me']"
271,tait,"['day', 'day', 'day', 'day', 'day']","['day', 'day', 'day', 'day', 'day']","['hate', 'hate', 'hate', 'hate', 'day']"
272,blossom,"['him', 'him', 'him', 'him', 'him']","['them', 'them', 'them', 'blossoms', 'them']","['lava', 'lava', 'thaw', 'wall', 'blossoms']"
273,cutting,"['tartaric', 'and', 'and', 'in', 'in']","['cut', 'cut', 'cut', 'cut', 'cut']","['king', 'ink', 'cut', 'king', 'cut']"
274,monstrosities,"['honour', 'arouses', 'arouse', 'essentially', 'reside']","['slices', 'slices', 'slices', 'us', 'us']","['masses', 'mosses', 'mosses', 'offences', 'slices']"
275,fragments,"['from', 'from', 'my', 'from', 'my']","['for', 'for', 'for', 'for', 'for']","['fervor', 'forces', 'form', 'form', 'form']"
276,statue,"['upright', 'sadly', 'fetch', 'button', 'citizen']","['stature', 'doctor', 'chuck', 'stature', 'doctor']","['stature', 'stature', 'esther', 'stock', 'posture']"
277,spectator,"['critics', 'chapters', 'tedious', 'misuse', 'preface']","['preface', 'preface', 'creditor', 'tedious', 'check']","['expecting', 'sincerity', 'backed', 'invaders', 'stock']"
278,ashes,"['chef', 'chef', 'chefs', 'shave', 'shaved']","['is', 'is', 'is', 'is', 'is']","['recesses', 'secesh', 'finches', 'measures', 'sources']"
279,sprawling,"['all', 'all', 'all', 'all', 'all']","['long', 'long', 'long', 'long', 'long']","['small', 'small', 'small', 'small', 'long']"
280,challoner,"['are', 'are', 'are', 'are', 'are']","['little', 'little', 'little', 'little', 'little']","['merlin', 'mother', 'mother', 'amount', 'memorandum']"
281,basil,"['lemon', 'oil', 'lemon', 'oil', 'lemon']","['lemon', 'morrel', 'assassin', 'morrel', 'masses']","['novel', 'vessels', 'balls', 'castle', 'vessel']"
282,historical,"['who', 'who', 'who', 'who', 'who']","['her', 'her', 'her', 'her', 'her']","['quaffed', 'gold', 'gold', 'whole', 'whole']"
283,vehicles,"['engineer', 'a', 'in', 'a', 'a']","['avail', 'rules', 'cubicles', 'of', 'of']","['wheels', 'gables', 'cubicles', 'queens', 'daily']"
284,magical,"['ragged', 'villagers', 'nail', 'jaws', 'staggering']","['rattled', 'mall', 'mating', 'hon', 'gravel']","['mating', 'geometrical', 'grandeur', 'semi', 'moral']"
285,echoing,"['in', 'in', 'in', 'in', 'in']","['inkling', 'ink', 'tingle', 'anglo', 'gray']","['bean', 'bean', 'billowing', 'removing', 'meaning']"
286,telephone,"['all', 'all', 'all', 'all', 'all']","['fellow', 'fellow', 'fellow', 'fellow', 'wealth']","['poodle', 'loaf', 'poodle', 'hof', 'hulking']"
287,hamer,"['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']"
288,ruskin,"['wondering', 'on', 'dragon', 'em', 'on']","['river', 'river', 'river', 'dragon', 'river']","['wines', 'wines', 'wines', 'bunch', 'saunter']"
289,hillside,"['iona', 'iona', 'e', 'hindmost', 'bonus']","['held', 'held', 'held', 'held', 'held']","['ledge', 'gentile', 'hills', 'dress', 'exiles']"
290,laborers,"['oil', 'oil', 'butterfly', 'mortar', 'owner']","['river', 'pebbles', 'river', 'river', 'river']","['ewes', 'ewes', 'reviewer', 'lose', 'reviews']"
291,deteriorations,"['age', 'age', 'age', 'age', 'age']","['period', 'period', 'period', 'period', 'period']","['drainage', 'invaders', 'choose', 'deviations', 'deterioration']"
292,criticisms,"['in', 'in', 'in', 'in', 'in']","['is', 'is', 'is', 'is', 'is']","['felicitous', 'offences', 'system', 'senses', 'his']"
293,bows,"['eye', 'eye', 'eye', 'our', 'our']","['boughs', 'boughs', 'boughs', 'out', 'out']","['bells', 'boughs', 'boughs', 'boughs', 'bough']"
294,gascon,"['all', 'all', 'all', 'all', 'all']","['long', 'long', 'long', 'long', 'long']","['gone', 'gone', 'gone', 'gone', 'cow']"
295,necromancy,"['elephant', 'waned', 'game', 'dying', 'in']","['man', 'man', 'man', 'mantel', 'man']","['extension', 'man', 'man', 'man', 'lean']"
296,saxon,"['affecting', 'saints', 'since', 'saxons', 'desperately']","['since', 'saxons', 'since', 'since', 'assessed']","['senses', 'saints', 'thence', 'fantasies', 'icy']"
297,sandwiches,"['she', 'she', 'she', 'she', 'she']","['as', 'as', 'as', 'as', 'as']","['saints', 'senses', 'slices', 'slices', 'facing']"
298,tyrants,"['sense', 'sense', 'rods', 'sense', 'announcement']","['sense', 'sense', 'senseless', 'sense', 'silence']","['arts', 'facts', 'since', 'senseless', 'saints']"
299,haunt,"['home', 'home', 'home', 'hof', 'home']","['hof', 'hot', 'hot', 'hof', 'on']","['hot', 'hot', 'hot', 'hot', 'hot']"
300,steering,"['fear', 'fear', 'year', 'main', 'year']","['see', 'see', 'see', 'fearing', 'fearing']","['see', 'see', 'see', 'see', 'see']"
301,hypocrites,"['sticks', 'he', 'he', 'he', 'he']","['its', 'its', 'its', 'its', 'its']","['effete', 'its', 'its', 'its', 'its']"
302,stunted,"['considerable', 'vegetated', 'savage', 'losing', 'to']","['to', 'to', 'to', 'to', 'to']","['sylvan', 'sofa', 'misuse', 'assistant', 'deserted']"
303,designing,"['narrow', 'in', 'in', 'in', 'in']","['narrow', 'eye', 'eye', 'lying', 'removing']","['in', 'in', 'in', 'in', 'in']"
304,pinch,"['to', 'to', 'pang', 'penned', 'head']","['intended', 'intention', 'intended', 'intended', 'penned']","['contingent', 'pennons', 'intention', 'dint', 'tendency']"
305,hither,"['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']"
306,lizy,"['wonder', 'le', 'awls', 'christie', 'cynthy']","['le', 'lily', 'larvae', 'eh', 'christie']","['leash', 'scenes', 'boy', 'lily', 'indies']"
307,opens,"['wall', 'wall', 'wall', 'all', 'old']","['own', 'own', 'own', 'own', 'own']","['open', 'open', 'open', 'open', 'open']"
308,performance,"['from', 'from', 'from', 'from', 'from']","['from', 'from', 'from', 'from', 'from']","['reform', 'for', 'for', 'for', 'for']"
309,wickedly,"['we', 'we', 'we', 'we', 'we']","['willingly', 'willing', 'willing', 'vaguely', 'lids']","['be', 'vindicated', 'weakly', 'be', 'be']"
310,attaining,"['hay', 'hay', 'maid', 'aim', 'alley']","['aim', 'hay', 'hay', 'alley', 'immediately']","['deity', 'bean', 'bean', 'matting', 'pyncheon']"
311,gesticulating,"['distinctly', 'ticks', 'ticking', 'survey', 'the']","['ticket', 'ticket', 'ticking', 'distinctly', 'ticks']","['sticking', 'the', 'the', 'the', 'the']"
312,smoked,"['so', 'so', 'so', 'so', 'so']","['so', 'so', 'so', 'so', 'so']","['sweat', 'fuchs', 'smoking', 'sweet', 'bubbles']"
313,ardent,"['organ', 'during', 'don', 'don', 'don']","['lodged', 'loft', 'rear', 'wandering', 'drying']","['not', 'not', 'not', 'not', 'not']"
314,instruments,"['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']"
315,locusts,"['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']","['cells', 'us', 'us', 'us', 'us']"
316,execute,"['could', 'could', 'could', 'could', 'could']","['few', 'few', 'few', 'few', 'ex']","['keep', 'keep', 'keep', 'keep', 'keep']"
317,norfolk,"['north', 'north', 'north', 'north', 'north']","['north', 'north', 'north', 'north', 'north']","['moral', 'polar', 'welfare', 'orthodox', 'beloved']"
318,polychrome,"['all', 'all', 'all', 'all', 'all']","['quality', 'call', 'call', 'call', 'roared']","['pommel', 'pommel', 'wealth', 'metaphorical', 'foul']"
319,hereditary,"['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']"
320,estimates,"['distinctions', 'pessimistic', 'sympathetic', 'list', 'seeks']","['insist', 'this', 'this', 'assist', 'this']","['pessimistic', 'insist', 'as', 'as', 'as']"
321,temperate,"['her', 'her', 'her', 'her', 'her']","['trip', 'purpose', 'trip', 'temporary', 'purpose']","['lamp', 'her', 'her', 'her', 'unpopular']"
322,unfastening,"['in', 'in', 'in', 'in', 'in']","['half', 'half', 'half', 'half', 'fashioned']","['attending', 'sounding', 'secesh', 'suns', 'evincing']"
323,piglike,"['ph', 'had', 'whipped', 'had', 'had']","['big', 'big', 'picked', 'big', 'give']","['lake', 'ink', 'sage', 'tape', 'sage']"
324,canisters,"['canister', 'day', 'soils', 'day', 'centre']","['answers', 'answers', 'answers', 'trousers', 'answers']","['answers', 'answers', 'answers', 'ministers', 'accessories']"
325,moistened,"['in', 'in', 'in', 'in', 'in']","['morrel', 'morrel', 'london', 'in', 'instalments']","['alimony', 'lean', 'lean', 'wound', 'bun']"
326,hypocritical,"['picket', 'hurt', 'hidden', 'color', 'glared']","['cook', 'cook', 'a', 'a', 'a']","['clerical', 'a', 'a', 'a', 'a']"
327,grouped,"['rude', 'rudely', 'group', 'withdrew', 'oak']","['greek', 'group', 'greek', 'greek', 'greek']","['group', 'group', 'groups', 'grew', 'grew']"
328,funny,"['me', 'me', 'me', 'exactly', 'me']","['freed', 'fuss', 'jam', 'chains', 'fling']","['money', 'money', 'money', 'fun', 'money']"
329,piously,"['e', 'i', 'i', 'i', 'how']","['high', 'higher', 'high', 'high', 'high']","['higher', 'sadly', 'highly', 'casus', 'foul']"
330,pastime,"['ice', 'sunshine', 'thaw', 'alley', 'wrong']","['him', 'him', 'him', 'him', 'him']","['path', 'path', 'time', 'time', 'time']"
331,curling,"['learned', 'earlier', 'learn', 'learned', 'grew']","['ruling', 'ruling', 'earlier', 'learned', 'reeling']","['blooming', 'newly', 'looming', 'rum', 'rulers']"
332,jimmy,"['be', 'be', 'be', 'be', 'be']","['be', 'be', 'be', 'be', 'be']","['january', 'drainage', 'duties', 'be', 'be']"
333,enjoyed,"['in', 'in', 'in', 'in', 'in']","['e', 'enjoy', 'enjoy', 'una', 'door']","['enjoy', 'avail', 'and', 'freed', 'and']"
334,editions,"['attribute', 'june', 'musical', 'arrange', 'an']","['in', 'in', 'in', 'in', 'in']","['vision', 'vision', 'visions', 'visions', 'reduce']"
335,admonishing,"['move', 'wrangler', 'end', 'during', 'an']","['an', 'on', 'an', 'on', 'in']","['manufactured', 'continue', 'bidding', 'selfish', 'evincing']"
336,tolled,"['whole', 'whole', 'whole', 'whole', 'whole']","['whole', 'whole', 'whole', 'whole', 'whole']","['told', 'told', 'told', 'told', 'told']"
337,wagons,"['dying', 'ball', 'men', 'knowledge', 'men']","['rising', 'rising', 'groans', 'vow', 'cannon']","['bag', 'wives', 'wives', 'bag', 'beloved']"
338,dismounted,"['merlin', 'lance', 'signs', 'mounting', 'sounding']","['to', 'to', 'to', 'to', 'to']","['mounted', 'amount', 'enchanted', 'optimist', 'sticking']"
339,kenton,"['in', 'content', 'in', 'in', 'in']","['in', 'in', 'in', 'in', 'in']","['in', 'norman', 'norman', 'and', 'in']"
340,spake,"['say', 'say', 'say', 'say', 'say']","['second', 'second', 'second', 'second', 'second']","['speak', 'speak', 'speech', 'speak', 'speak']"
341,grain,"['warm', 'dry', 'german', 'adding', 'day']","['rain', 'rain', 'rain', 'ring', 'reign']","['reign', 'earn', 'reign', 'earn', 'reign']"
342,acres,"['or', 'or', 'or', 'or', 'or']","['ear', 'air', 'ages', 'ages', 'ears']","['icy', 'pages', 'tunes', 'his', 'his']"
343,dock,"['out', 'out', 'out', 'out', 'out']","['god', 'god', 'god', 'god', 'godhead']","['rock', 'rock', 'rock', 'rock', 'rock']"
344,grosser,"['were', 'were', 'were', 'were', 'were']","['grows', 'or', 'or', 'her', 'or']","['restored', 'deserve', 'grows', 'grow', 'or']"
345,asura,"['are', 'are', 'are', 'are', 'are']","['her', 'her', 'her', 'her', 'her']","['shore', 'shore', 'assure', 'poorer', 'door']"
346,inhabit,"['head', 'empire', 'head', 'empire', 'empire']","['hand', 'hand', 'hand', 'hand', 'adam']","['hide', 'hide', 'hand', 'africa', 'hypatia']"
347,horrors,"['warrior', 'horror', 'raw', 'rarer', 'were']","['horror', 'horror', 'horror', 'horror', 'horror']","['horror', 'horror', 'horror', 'horror', 'horror']"
348,worthily,"['newly', 'little', 'little', 'little', 'rulers']","['word', 'word', 'word', 'word', 'word']","['rudely', 'revered', 'degraded', 'ward', 'newly']"
349,alma,"['all', 'all', 'all', 'all', 'all']","['all', 'all', 'all', 'all', 'all']","['law', 'law', 'law', 'law', 'law']"
350,handles,"['san', 'pulp', 'rhein', 'oven', 'oven']","['old', 'old', 'old', 'old', 'old']","['poodle', 'walls', 'poodle', 'howls', 'loaf']"
351,acre,"['any', 'eight', 'any', 'any', 'any']","['air', 'air', 'air', 'air', 'air']","['ink', 'league', 'engineer', 'eight', 'any']"
352,corrosive,"['were', 'were', 'were', 'were', 'were']","['arose', 'rose', 'arose', 'rose', 'rose']","['fertile', 'fertile', 'serge', 'murderous', 'grows']"
