,word,encodec
481,christianity,"['she', 'she', 'she', 'she', 'she']"
482,account,"['class', 'caste', 'law', 'hide', 'garlic']"
483,carrying,"['harry', 'harry', 'are', 'harry', 'are']"
484,pray,"['am', 'rear', 'storm', 'am', 'creep']"
485,christians,"['answers', 'answer', 'answer', 'answers', 'profession']"
486,before,"['would', 'would', 'would', 'would', 'would']"
487,fifty,"['feet', 'views', 'seized', 'he', 'he']"
488,supreme,"['me', 'me', 'me', 'me', 'me']"
489,forget,"['dig', 'bird', 'seizing', 'gas', 'gas']"
490,musical,"['you', 'you', 'you', 'you', 'you']"
491,not,"['it', 'it', 'it', 'it', 'it']"
492,think,"['i', 'i', 'i', 'i', 'i']"
493,prepared,"['pair', 'pair', 'pair', 'are', 'her']"
494,wives,"['wide', 'wide', 'off', 'off', 'off']"
495,need,"['had', 'had', 'had', 'had', 'had']"
496,besides,"['is', 'is', 'is', 'is', 'is']"
497,find,"['valjean', 'valjean', 'valjean', 'wandering', 'wandering']"
498,tightly,"['e', 'at', 'i', 'at', 'at']"
499,sweet,"['she', 'she', 'she', 'you', 'you']"
500,also,"['all', 'all', 'all', 'all', 'all']"
501,human,"['he', 'he', 'he', 'he', 'he']"
502,towards,"['morbid', 'glued', 'rout', 'deformed', 'raw']"
503,thick,"['camp', 'camp', 'camp', 'camp', 'depths']"
504,making,"['keen', 'me', 'me', 'me', 'leading']"
505,toward,"['were', 'were', 'were', 'were', 'were']"
506,only,"['one', 'one', 'one', 'the', 'the']"
507,prevent,"['parliamentary', 'forgiven', 'from', 'acquainted', 'brushed']"
508,night,"['violin', 'violin', 'violin', 'violin', 'violin']"
509,message,"['guess', 'enlist', 'missus', 'missus', 'distress']"
510,honor,"['on', 'all', 'on', 'all', 'all']"
511,traits,"['sage', 'creek', 'serge', 'fences', 'texture']"
512,immediate,"['need', 'need', 'union', 'year', 'need']"
513,woman,"['in', 'in', 'in', 'in', 'in']"
514,each,"['you', 'you', 'you', 'you', 'you']"
515,pictish,"['she', 'she', 'she', 'she', 'she']"
516,fine,"['on', 'on', 'on', 'on', 'on']"
517,drawing,"['mine', 'line', 'mine', 'line', 'wry']"
518,mood,"['knew', 'knew', 'knew', 'knew', 'knew']"
519,dish,"['shaved', 'fish', 'fish', 'fish', 'chef']"
520,chance,"['hand', 'sanum', 'hand', 'fain', 'hand']"
521,pop,"['talk', 'talk', 'talk', 'talk', 'talk']"
522,bride,"['moira', 'draw', 'moira', 'raw', 'reign']"
523,had,"['how', 'how', 'how', 'how', 'how']"
524,street,"['teeth', 'teeth', 'teeth', 'tree', 'tree']"
525,kearny,"['inn', 'wine', 'firm', 'wine', 'garlic']"
526,whose,"['who', 'who', 'who', 'who', 'who']"
527,memory,"['room', 'me', 'room', 'mien', 'bond']"
528,required,"['gorge', 'gorge', 'level', 'high', 'gorge']"
529,mine,"['eye', 'eye', 'man', 'highwayman', 'man']"
530,go,"['will', 'will', 'will', 'will', 'will']"
531,you,"['she', 'she', 'she', 'she', 'she']"
532,laugh,"['half', 'half', 'half', 'rod', 'half']"
533,took,"['to', 'to', 'to', 'to', 'to']"
534,growth,"['mode', 'mode', 'mode', 'mode', 'mode']"
535,army,"['our', 'our', 'our', 'our', 'our']"
536,art,"['her', 'her', 'her', 'her', 'her']"
537,up,"['bundled', 'grown', 'clarke', 'clarke', 'bolt']"
538,made,"['may', 'may', 'may', 'may', 'may']"
539,shoes,"['she', 'she', 'she', 'she', 'she']"
540,seems,"['seemed', 'seemed', 'seemed', 'seemed', 'seemed']"
541,spread,"['drive', 'tad', 'zepplin', 'fellow', 'wrangler']"
542,naturally,"['lamb', 'lamb', 'mainly', 'clearly', 'ill']"
543,uncommonly,"['ann', 'on', 'on', 'mean', 'in']"
544,yards,"['are', 'are', 'are', 'are', 'are']"
545,husband,"['have', 'have', 'have', 'have', 'have']"
546,father,"['robber', 'i', 'i', 'i', 'i']"
547,die,"['i', 'i', 'i', 'i', 'i']"
548,able,"['arrange', 'in', 'a', 'in', 'mall']"
549,live,"['the', 'related', 'eleventh', 'allay', 'is']"
550,beds,"['its', 'its', 'its', 'its', 'deer']"
551,makes,"['suckle', 'me', 'me', 'gait', 'begins']"
552,ill,"['aid', 'old', 'old', 'old', 'old']"
553,occurred,"['her', 'her', 'her', 'her', 'her']"
554,serve,"['oath', 'soon', 'treasured', 'are', 'are']"
555,agreed,"['rugged', 'were', 'grunted', 'group', 'rode']"
556,tenth,"['sent', 'plans', 'health', 'ascent', 'pensive']"
557,round,"['royal', 'drawn', 'drawn', 'on', 'on']"
558,treated,"['it', 'should', 'distress', 'should', 'it']"
559,prisoner,"['learn', 'learn', 'rarer', 'learned', 'murderer']"
560,countenance,"['commanded', 'handed', 'task', 'command', 'demand']"
561,button,"['buttoned', 'in', 'line', 'in', 'in']"
562,three,"['derisive', 'tense', 'threatened', 'piped', 'freed']"
563,half,"['how', 'how', 'how', 'how', 'how']"
564,here,"['were', 'were', 'were', 'were', 'were']"
565,buns,"['on', 'on', 'on', 'lined', 'on']"
566,unless,"['in', 'in', 'in', 'in', 'in']"
567,get,"['did', 'did', 'did', 'did', 'good']"
568,wines,"['mayonnaise', 'mayonnaise', 'mayonnaise', 'line', 'line']"
569,over,"['all', 'all', 'all', 'all', 'all']"
570,questions,"['she', 'she', 'she', 'she', 'she']"
571,expect,"['wax', 'suit', 'sickening', 'victims', 'pictish']"
572,breath,"['back', 'back', 'back', 'back', 'back']"
573,lige,"['she', 'she', 'she', 'she', 'she']"
574,blood,"['bill', 'thunder', 'de', 'sword', 'i']"
575,wounded,"['new', 'new', 'new', 'new', 'new']"
576,hardly,"['hung', 'her', 'rear', 'her', 'her']"
577,garden,"['are', 'our', 'our', 'our', 'our']"
578,always,"['all', 'all', 'all', 'all', 'all']"
579,happy,"['eye', 'eye', 'eye', 'eye', 'eye']"
580,land,"['inn', 'inn', 'alley', 'it', 'it']"
581,era,"['are', 'are', 'are', 'are', 'are']"
582,voice,"['oil', 'war', 'tours', 'holgrave', 'will']"
583,march,"['wrong', 'wrong', 'eh', 'ardour', 'error']"
584,show,"['she', 'she', 'she', 'she', 'she']"
585,sugar,"['are', 'are', 'are', 'are', 'are']"
586,empty,"['need', 'need', 'be', 'need', 'be']"
587,confounded,"['on', 'on', 'on', 'on', 'on']"
588,seemed,"['would', 'would', 'would', 'would', 'would']"
589,heard,"['her', 'her', 'her', 'her', 'her']"
590,soul,"['loyal', 'loyally', 'will', 'bore', 'all']"
591,table,"['oil', 'peel', 'oil', 'day', 'day']"
592,indeed,"['need', 'need', 'need', 'new', 'new']"
593,ginger,"['garnish', 'garnish', 'chef', 'chef', 'measure']"
594,who,"['he', 'he', 'he', 'he', 'he']"
595,kindly,"['mine', 'mine', 'mine', 'mine', 'mine']"
596,path,"['man', 'man', 'man', 'man', 'man']"
597,criticism,"['mosaic', 'of', 'desertion', 'illusion', 'nazareth']"
598,part,"['her', 'her', 'her', 'her', 'her']"
599,good,"['had', 'had', 'had', 'had', 'had']"
600,natural,"['all', 'all', 'on', 'all', 'all']"
601,neighbors,"['loyally', 'revolved', 'arrange', 'openly', 'married']"
602,rather,"['are', 'are', 'are', 'are', 'are']"
603,domestic,"['double', 'guard', 'monastic', 'broad', 'literary']"
604,house,"['had', 'had', 'had', 'had', 'had']"
605,came,"['sheet', 'wink', 'sing', 'gentlemen', 'young']"
606,second,"['consisting', 'tasted', 'begins', 'begins', 'mincing']"
607,fight,"['i', 'i', 'i', 'i', 'i']"
608,otto,"['i', 'i', 'i', 'i', 'i']"
609,boy,"['roar', 'foe', 'away', 'oil', 'away']"
610,rope,"['war', 'war', 'war', 'wall', 'robe']"
611,often,"['known', 'known', 'phenomenon', 'known', 'known']"
612,omitted,"['ann', 'ann', 'end', 'end', 'in']"
613,toast,"['mode', 'mode', 'mode', 'mode', 'mode']"
614,such,"['casus', 'coast', 'helpless', 'pent', 'tide']"
615,be,"['you', 'you', 'you', 'you', 'you']"
616,mean,"['me', 'e', 'me', 'knew', 'me']"
617,between,"['onions', 'termed', 'in', 'in', 'rooms']"
618,race,"['arouse', 'are', 'are', 'are', 'are']"
619,ask,"['half', 'half', 'half', 'half', 'half']"
620,dawn,"['lying', 'on', 'on', 'mine', 'on']"
621,all,"['our', 'our', 'our', 'our', 'our']"
622,yes,"['us', 'us', 'us', 'us', 'us']"
623,none,"['knowing', 'men', 'men', 'known', 'the']"
624,divided,"['of', 'of', 'of', 'of', 'of']"
625,add,"['had', 'out', 'out', 'out', 'out']"
626,got,"['but', 'but', 'but', 'but', 'but']"
627,contained,"['him', 'in', 'him', 'in', 'him']"
628,wishing,"['mean', 'mean', 'mean', 'mean', 'mean']"
629,pride,"['god', 'god', 'god', 'god', 'god']"
630,wife,"['egg', 'egg', 'herb', 'mode', 'way']"
631,alive,"['eye', 'allow', 'allow', 'loud', 'eye']"
632,carriage,"['carrie', 'carrie', 'carrie', 'bridge', 'carrie']"
633,watch,"['was', 'was', 'was', 'was', 'was']"
634,language,"['lay', 'reign', 'alarm', 'mosaic', 'warning']"
635,explain,"['hung', 'seeing', 'still', 'still', 'seemed']"
636,doctor,"['raw', 'oh', 'oh', 'reverend', 'oh']"
637,play,"['hay', 'lane', 'savoy', 'me', 'nile']"
638,build,"['little', 'little', 'little', 'little', 'little']"
639,sad,"['eh', 'add', 'add', 'add', 'had']"
640,enemies,"['me', 'me', 'lean', 'me', 'me']"
641,woodley,"['lay', 'lay', 'lay', 'will', 'will']"
642,success,"['is', 'is', 'is', 'is', 'is']"
643,seasoning,"['sees', 'you', 'you', 'these', 'see']"
644,walk,"['all', 'all', 'all', 'all', 'all']"
645,getting,"['in', 'in', 'in', 'in', 'in']"
646,adding,"['mayonnaise', 'mayonnaise', 'and', 'mayonnaise', 'in']"
647,cheek,"['she', 'she', 'she', 'she', 'she']"
648,spot,"['high', 'path', 'sighs', 'path', 'fly']"
649,conduct,"['hide', 'hide', 'character', 'port', 'pampas']"
650,profound,"['on', 'on', 'on', 'on', 'on']"
651,poor,"['were', 'were', 'were', 'were', 'were']"
652,music,"['onions', 'new', 'beans', 'new', 'new']"
653,thoroughly,"['avail', 'early', 'early', 'rely', 'availed']"
654,paved,"['day', 'day', 'day', 'age', 'day']"
655,quality,"['horton', 'horton', 'lay', 'lay', 'horton']"
656,however,"['are', 'are', 'are', 'are', 'are']"
657,ground,"['row', 'inn', 'inn', 'nile', 'row']"
658,nature,"['raining', 'prayer', 'mating', 'her', 'warrior']"
659,head,"['had', 'had', 'had', 'had', 'had']"
660,hills,"['hill', 'hill', 'hill', 'hill', 'hail']"
661,north,"['are', 'are', 'are', 'are', 'are']"
662,me,"['be', 'be', 'be', 'be', 'be']"
663,task,"['half', 'half', 'half', 'half', 'half']"
664,weary,"['you', 'you', 'you', 'you', 'you']"
665,south,"['awls', 'love', 'love', 'love', 'add']"
666,better,"['are', 'are', 'are', 'are', 'are']"
667,hold,"['old', 'old', 'old', 'old', 'old']"
668,despised,"['us', 'us', 'us', 'us', 'us']"
669,being,"['need', 'me', 'me', 'me', 'me']"
670,assure,"['air', 'show', 'show', 'show', 'show']"
671,received,"['would', 'would', 'would', 'would', 'would']"
672,pocket,"['back', 'back', 'up', 'up', 'up']"
673,kinds,"['mind', 'mind', 'times', 'times', 'pine']"
674,low,"['loyally', 'ghoul', 'old', 'old', 'old']"
675,solid,"['falling', 'dusk', 'silly', 'silver', 'howling']"
676,fact,"['back', 'back', 'back', 'back', 'back']"
677,nothing,"['in', 'in', 'in', 'in', 'in']"
678,trees,"['she', 'she', 'she', 'she', 'she']"
679,type,"['i', 'i', 'i', 'i', 'i']"
680,easier,"['you', 'you', 'you', 'you', 'you']"
681,prayers,"['are', 'are', 'are', 'are', 'are']"
682,papa,"['that', 'popped', 'shop', 'capture', 'called']"
683,miles,"['lamb', 'lamb', 'eye', 'eye', 'eye']"
684,feet,"['eat', 'eat', 'eat', 'eat', 'eat']"
685,beautiful,"['you', 'you', 'you', 'you', 'you']"
686,east,"['sea', 'sea', 'sea', 'yeast', 'sea']"
687,simmonds,"['wilson', 'wilsons', 'wilson', 'wilson', 'wilson']"
688,teaspoonful,"['you', 'you', 'you', 'you', 'you']"
689,avoided,"['ball', 'vulgar', 'old', 'ball', 'orders']"
690,energy,"['he', 'he', 'he', 'he', 'he']"
691,brought,"['bar', 'bred', 'right', 'rubbed', 'rubbed']"
692,habit,"['how', 'how', 'how', 'how', 'how']"
693,look,"['the', 'the', 'the', 'the', 'the']"
694,own,"['knew', 'knew', 'knew', 'knew', 'knew']"
695,missus,"['his', 'his', 'his', 'his', 'his']"
696,we,"['he', 'he', 'he', 'he', 'he']"
697,cases,"['is', 'is', 'is', 'is', 'is']"
698,mister,"['we', 'we', 'we', 'we', 'we']"
699,reply,"['high', 'high', 'high', 'hay', 'lava']"
700,green,"['removing', 'renewing', 'tourmaline', 'wrung', 'narrow']"
701,waiting,"['mean', 'mean', 'mean', 'hangings', 'aid']"
702,change,"['she', 'she', 'she', 'she', 'she']"
703,leave,"['una', 'the', 'illuminated', 'the', 'lean']"
704,arranging,"['manly', 'arrange', 'e', 'in', 'una']"
705,battle,"['all', 'all', 'all', 'all', 'all']"
706,note,"['no', 'moan', 'no', 'no', 'all']"
707,god,"['eye', 'out', 'out', 'out', 'out']"
708,wish,"['was', 'was', 'was', 'was', 'was']"
709,home,"['one', 'una', 'mine', 'one', 'one']"
710,force,"['four', 'four', 'four', 'four', 'four']"
711,forests,"['us', 'us', 'us', 'us', 'us']"
712,purest,"['were', 'were', 'were', 'were', 'were']"
713,proved,"['who', 'post', 'quicker', 'quick', 'who']"
714,hope,"['owed', 'owed', 'whole', 'whole', 'whole']"
715,morrow,"['all', 'all', 'all', 'all', 'all']"
716,affected,"['to', 'to', 'to', 'to', 'to']"
717,longer,"['home', 'home', 'home', 'home', 'home']"
718,minds,"['my', 'on', 'my', 'on', 'on']"
719,masses,"['as', 'as', 'as', 'as', 'union']"
720,tired,"['are', 'are', 'are', 'i', 'are']"
721,divide,"['eye', 'high', 'hood', 'eye', 'eye']"
722,instant,"['in', 'in', 'in', 'in', 'in']"
723,panic,"['man', 'man', 'man', 'man', 'man']"
724,did,"['would', 'would', 'would', 'would', 'would']"
725,man,"['inn', 'inn', 'inn', 'him', 'him']"
726,dressing,"['indecision', 'subjugation', 'undressing', 'singular', 'exempt']"
727,under,"['honor', 'in', 'in', 'in', 'offering']"
728,near,"['are', 'are', 'are', 'are', 'are']"
729,off,"['out', 'out', 'out', 'out', 'out']"
730,suffered,"['emperors', 'protected', 'signs', 'sacred', 'forgotten']"
731,heavy,"['thee', 'thee', 'thee', 'thee', 'thee']"
732,smiled,"['line', 'line', 'sky', 'i', 'i']"
733,telecast,"['i', 'out', 'i', 'test', 'out']"
734,kings,"['means', 'means', 'means', 'means', 'queens']"
735,moulds,"['hall', 'all', 'all', 'all', 'all']"
736,smiling,"['offering', 'e', 'long', 'long', 'delaying']"
737,insisted,"['destined', 'consists', 'seen', 'instinct', 'civil']"
738,nineteen,"['ninety', 'ninety', 'onions', 'rhein', 'rhein']"
739,separate,"['sauce', 'sauce', 'sauce', 'sauce', 'saucepan']"
740,name,"['rein', 'reign', 'me', 'me', 'me']"
741,arrived,"['are', 'are', 'are', 'are', 'are']"
742,church,"['she', 'she', 'she', 'she', 'she']"
743,filled,"['flow', 'fifth', 'full', 'fifth', 'civil']"
744,vast,"['laugh', 'laugh', 'past', 'past', 'laugh']"
745,knows,"['knew', 'knew', 'knew', 'knew', 'knew']"
746,along,"['mine', 'mine', 'mine', 'rome', 'mine']"
747,corner,"['are', 'were', 'were', 'were', 'are']"
748,young,"['am', 'am', 'hung', 'am', 'am']"
749,strong,"['all', 'all', 'all', 'all', 'all']"
750,make,"['it', 'it', 'it', 'it', 'it']"
751,move,"['new', 'new', 'new', 'new', 'new']"
752,cottage,"['called', 'call', 'called', 'call', 'call']"
753,saying,"['singing', 'singing', 'singing', 'hay', 'e']"
754,pressing,"['putting', 'passing', 'post', 'couple', 'pay']"
755,entire,"['wrung', 'lot', 'wry', 'married', 'our']"
756,fields,"['lean', 'lean', 'you', 'you', 'you']"
757,intercourse,"['brazen', 'essential', 'indistinct', 'for', 'yard']"
758,among,"['on', 'on', 'on', 'long', 'known']"
759,weight,"['what', 'what', 'waving', 'it', 'what']"
760,were,"['are', 'are', 'are', 'are', 'are']"
761,wild,"['lot', 'lot', 'well', 'well', 'well']"
762,hidden,"['in', 'in', 'in', 'in', 'in']"
763,bridge,"['roof', 'roof', 'roof', 'view', 'view']"
764,then,"['the', 'the', 'the', 'the', 'the']"
765,feelings,"['using', 'easy', 'mean', 'gains', 'mean']"
766,pleasure,"['addressed', 'shared', 'share', 'strong', 'employ']"
767,west,"['rises', 'well', 'well', 'omitted', 'slices']"
768,well,"['all', 'all', 'all', 'all', 'all']"
769,verse,"['her', 'earth', 'her', 'earth', 'her']"
770,clean,"['mean', 'mean', 'mean', 'mean', 'looming']"
771,sank,"['she', 'she', 'she', 'she', 'she']"
772,mistake,"['tedious', 'a', 'a', 'a', 'a']"
773,during,"['are', 'are', 'are', 'are', 'are']"
774,thought,"['i', 'i', 'i', 'i', 'i']"
775,far,"['our', 'our', 'our', 'our', 'our']"
776,bottle,"['raw', 'long', 'law', 'all', 'all']"
777,fear,"['here', 'here', 'here', 'ear', 'here']"
778,creed,"['effete', 'seas', 'greek', 'fain', 'use']"
779,line,"['on', 'on', 'on', 'on', 'on']"
780,room,"['were', 'were', 'were', 'were', 'were']"
781,top,"['half', 'half', 'half', 'half', 'half']"
782,ferdinand,"['in', 'in', 'in', 'in', 'in']"
783,ever,"['are', 'are', 'are', 'are', 'are']"
784,held,"['had', 'had', 'had', 'had', 'had']"
785,satisfied,"['out', 'out', 'out', 'lad', 'rout']"
786,way,"['away', 'away', 'away', 'away', 'away']"
787,great,"['carrie', 'carrie', 'carrie', 'carrie', 'inn']"
788,self,"['sell', 'so', 'so', 'so', 'so']"
789,houses,"['ill', 'bel', 'eye', 'louder', 'villages']"
