,word,encodec ec,encodec mel,w2v
184,outside,"['eye', 'eye', 'eye', 'eye', 'nile']","['eye', 'eye', 'eye', 'eye', 'eye']","['side', 'side', 'side', 'side', 'side']"
185,mc,"['the', 'the', 'the', 'the', 'the']","['a', 'a', 'a', 'a', 'a']","['a', 'a', 'a', 'a', 'a']"
186,complain,"['inclined', 'calming', 'contained', 'wayne', 'inn']","['reign', 'contained', 'reign', 'clean', 'inclined']","['contingent', 'queens', 'limit', 'ink', 'human']"
187,unnatural,"['all', 'all', 'all', 'all', 'all']","['all', 'all', 'all', 'all', 'all']","['now', 'now', 'not', 'now', 'now']"
188,maintained,"['me', 'me', 'me', 'me', 'me']","['name', 'name', 'name', 'name', 'name']","['remain', 'remain', 'remain', 'remain', 'remain']"
189,just,"['such', 'such', 'such', 'such', 'such']","['such', 'such', 'such', 'such', 'such']","['is', 'is', 'is', 'is', 'is']"
190,fingers,"['seizing', 'seized', 'reverend', 'decreed', 'curtains']","['fulfill', 'fulfill', 'grew', 'seizing', 'freed']","['finger', 'finger', 'few', 'few', 'fuchs']"
191,there,"['were', 'were', 'were', 'were', 'were']","['the', 'the', 'the', 'the', 'the']","['their', 'their', 'their', 'their', 'their']"
192,prevailing,"['or', 'or', 'or', 'or', 'or']","['removing', 'railway', 'iron', 'reveal', 'being']","['removing', 'living', 'bay', 'view', 'invading']"
193,uneasy,"['aidan', 'in', 'in', 'in', 'any']","['easy', 'easy', 'easy', 'easy', 'me']","['easy', 'easy', 'easy', 'easy', 'easier']"
194,industrious,"['una', 'a', 'endeavors', 'animal', 'solitary']","['a', 'a', 'a', 'a', 'a']","['mystic', 'adventurous', 'mosaic', 'contaminated', 'shasta']"
195,summoned,"['in', 'in', 'in', 'in', 'in']","['some', 'some', 'some', 'some', 'some']","['some', 'some', 'some', 'some', 'some']"
196,goodness,"['whose', 'whose', 'whose', 'whose', 'whose']","['good', 'good', 'good', 'good', 'good']","['usefulness', 'division', 'thickness', 'pyncheon', 'pyncheon']"
197,oddly,"['author', 'all', 'author', 'all', 'all']","['all', 'all', 'all', 'all', 'all']","['awe', 'all', 'all', 'all', 'all']"
198,decency,"['seas', 'me', 'me', 'me', 'me']","['sea', 'sea', 'sea', 'sea', 'sea']","['sea', 'sea', 'sea', 'sea', 'seas']"
199,misery,"['honour', 'yours', 'drainage', 'yours', 'the']","['his', 'drainage', 'his', 'his', 'his']","['his', 'his', 'his', 'his', 'his']"
200,boys,"['was', 'was', 'was', 'was', 'was']","['voice', 'voice', 'voice', 'voice', 'voice']","['boy', 'boy', 'boy', 'boy', 'boy']"
201,effort,"['hurt', 'attaching', 'for', 'for', 'for']","['for', 'for', 'for', 'for', 'for']","['heart', 'heart', 'heart', 'heart', 'heart']"
202,of,"['a', 'a', 'a', 'a', 'a']","['the', 'the', 'the', 'the', 'the']","['dove', 'love', 'love', 'love', 'love']"
203,gospel,"['all', 'all', 'all', 'all', 'all']","['all', 'all', 'all', 'all', 'all']","['hell', 'tahoe', 'hell', 'hell', 'quarrel']"
204,processes,"['sliced', 'slice', 'sauce', 'slices', 'sauce']","['slices', 'slices', 'us', 'us', 'us']","['fantasies', 'consequences', 'consequences', 'slices', 'offences']"
205,dear,"['are', 'are', 'are', 'are', 'are']","['le', 'ear', 'ear', 'ear', 'deer']","['sir', 'sir', 'sir', 'sir', 'sir']"
206,grate,"['it', 'it', 'it', 'it', 'it']","['it', 'it', 'it', 'it', 'it']","['beer', 'matron', 'scriptures', 'dough', 'burnt']"
207,leads,"['little', 'leave', 'little', 'little', 'little']","['leave', 'leave', 'leave', 'leave', 'leave']","['leaving', 'leaving', 'leaving', 'leaving', 'leaving']"
208,degrees,"['years', 'years', 'years', 'years', 'years']","['grew', 'years', 'years', 'years', 'grew']","['grew', 'grew', 'grew', 'v', 'agree']"
209,specialty,"['shall', 'shall', 'shall', 'shall', 'shall']","['shall', 'shall', 'shall', 'shall', 'shall']","['special', 'especially', 'sheet', 'special', 'muster']"
210,female,"['me', 'me', 'me', 'me', 'me']","['me', 'me', 'me', 'me', 'me']","['memnon', 'me', 'me', 'me', 'me']"
211,famously,"['see', 'see', 'see', 'see', 'see']","['v', 'fancy', 'fearful', 'fain', 'flew']","['festive', 'festive', 'face', 'face', 'famous']"
212,polite,"['letter', 'all', 'letter', 'all', 'all']","['write', 'write', 'write', 'write', 'light']","['fought', 'low', 'ploughed', 'gallant', 'low']"
213,restaurants,"['schloss', 'corner', 'surround', 'austrian', 'rush']","['ancestors', 'sections', 'emperors', 'restaurant', 'rear']","['muster', 'records', 'restaurant', 'rulers', 'schloss']"
214,read,"['were', 'were', 'were', 'were', 'were']","['red', 'red', 'red', 'red', 'red']","['red', 'red', 'red', 'red', 'red']"
215,lattimer,"['are', 'are', 'are', 'are', 'are']","['our', 'our', 'murmur', 'our', 'a']","['latter', 'latter', 'ladder', 'latter', 'rumor']"
216,perform,"['more', 'more', 'more', 'more', 'more']","['from', 'from', 'from', 'from', 'forth']","['form', 'form', 'form', 'form', 'form']"
217,epistle,"['a', 'a', 'a', 'a', 'a']","['his', 'his', 'his', 'his', 'his']","['his', 'system', 'restored', 'his', 'councils']"
218,meantime,"['mien', 'eleventh', 'em', 'em', 'length']","['time', 'time', 'time', 'time', 'time']","['time', 'time', 'time', 'time', 'time']"
219,mortar,"['warm', 'warm', 'were', 'morrel', 'were']","['more', 'more', 'more', 'more', 'more']","['earn', 'warm', 'warm', 'warm', 'murmur']"
220,mystery,"['age', 'age', 'age', 'remained', 'remained']","['me', 'me', 'me', 'me', 'me']","['mysteries', 'teepee', 'trees', 'humanity', 'trees']"
221,complacently,"['musingly', 'fling', 'instance', 'perplexity', 'queried']","['sleep', 'sleep', 'sleep', 'sleep', 'sleep']","['discussing', 'instance', 'since', 'since', 'since']"
222,became,"['in', 'in', 'in', 'in', 'in']","['king', 'king', 'king', 'came', 'came']","['be', 'be', 'be', 'be', 'be']"
223,blushed,"['she', 'she', 'she', 'she', 'she']","['flesh', 'flesh', 'flesh', 'flesh', 'flesh']","['flushed', 'flushed', 'brushed', 'flashed', 'wished']"
224,furnish,"['assure', 'assure', 'shut', 'assure', 'sure']","['first', 'first', 'first', 'first', 'first']","['for', 'for', 'for', 'for', 'for']"
225,wants,"['was', 'was', 'was', 'was', 'was']","['want', 'one', 'want', 'one', 'want']","['us', 'us', 'us', 'us', 'us']"
226,responsive,"['remaining', 'drawer', 'rubbish', 'poring', 'of']","['rubbish', 'provide', 'modest', 'rout', 'restored']","['of', 'block', 'sparse', 'of', 'rout']"
227,smoke,"['soon', 'soon', 'lincoln', 'whipped', 'boats']","['most', 'most', 'most', 'most', 'most']","['loafing', 'loaf', 'muster', 'poodle', 'poodle']"
228,impulse,"['all', 'all', 'all', 'all', 'all']","['us', 'us', 'us', 'us', 'us']","['walls', 'walls', 'walls', 'walls', 'walls']"
229,interview,"['you', 'you', 'you', 'you', 'you']","['you', 'you', 'you', 'you', 'you']","['you', 'you', 'you', 'you', 'you']"
230,fall,"['all', 'all', 'all', 'all', 'all']","['full', 'full', 'full', 'all', 'full']","['all', 'all', 'all', 'all', 'all']"
231,protruded,"['bird', 'bird', 'threw', 'birds', 'through']","['two', 'two', 'two', 'two', 'two']","['proved', 'prove', 'proved', 'prove', 'accrue']"
232,calling,"['all', 'all', 'all', 'all', 'all']","['long', 'long', 'long', 'long', 'long']","['all', 'all', 'all', 'all', 'all']"
233,preserved,"['bird', 'bird', 'birds', 'birds', 'birds']","['preserve', 'preserve', 'bird', 'bird', 'heard']","['deserved', 'deserved', 'refer', 'deserved', 'reserve']"
234,joint,"['managerial', 'e', 'trying', 'remaining', 'arranging']","['join', 'e', 'going', 'going', 'going']","['ink', 'join', 'joined', 'joined', 'engineer']"
235,emergency,"['warrior', 'ring', 'river', 'river', 'thee']","['immediately', 'immediately', 'alley', 'me', 'me']","['union', 'sunny', 'union', 'humanity', 'lean']"
236,taught,"['how', 'how', 'how', 'how', 'how']","['not', 'not', 'not', 'not', 'not']","['thought', 'thought', 'thought', 'thought', 'thought']"
237,aristocratic,"['shifted', 'chefs', 'seeks', 'schloss', 'friendships']","['reader', 'reader', 'groups', 'tropical', 'reader']","['sympathetic', 'sympathetic', 'festive', 'messrs', 'festive']"
238,accord,"['war', 'war', 'war', 'war', 'war']","['war', 'war', 'war', 'war', 'war']","['ward', 'war', 'war', 'war', 'war']"
239,tumultuous,"['assumes', 'foreign', 'smooth', 'smooth', 'assume']","['to', 'to', 'to', 'to', 'to']","['sole', 'tombs', 'superfluous', 'misuse', 'shoes']"
240,eyeing,"['i', 'i', 'i', 'i', 'i']","['laying', 'eye', 'eye', 'eye', 'eye']","['i', 'i', 'i', 'i', 'i']"
241,asia,"['omitted', 'egg', 'eggs', 'edge', 'eggs']","['age', 'age', 'age', 'age', 'age']","['age', 'age', 'age', 'age', 'age']"
242,advertising,"['a', 'headed', 'i', 'i', 'i']","['wry', 'trousers', 'iron', 'aversion', 'dollars']","['adding', 'handed', 'antioch', 'earn', 'attendance']"
243,air,"['are', 'are', 'are', 'are', 'are']","['beer', 'layer', 'year', 'year', 'year']","['error', 'error', 'chair', 'error', 'beer']"
244,landing,"['animal', 'in', 'him', 'drawer', 'in']","['hand', 'hand', 'hand', 'hand', 'hand']","['hand', 'hand', 'hand', 'hand', 'hand']"
245,summoning,"['in', 'in', 'in', 'in', 'in']","['some', 'some', 'some', 'some', 'some']","['some', 'some', 'some', 'some', 'some']"
246,two,"['too', 'too', 'too', 'too', 'too']","['too', 'too', 'too', 'too', 'too']","['too', 'too', 'too', 'too', 'too']"
247,greeted,"['do', 'do', 'do', 'do', 'do']","['grew', 'agreed', 'great', 'great', 'great']","['greed', 'agreed', 'agreed', 'agreed', 'v']"
248,usually,"['you', 'you', 'you', 'you', 'you']","['you', 'usual', 'you', 'you', 'you']","['use', 'used', 'used', 'used', 'use']"
249,steady,"['see', 'see', 'see', 'see', 'league']","['see', 'see', 'see', 'see', 'see']","['see', 'see', 'see', 'see', 'see']"
250,raised,"['re', 'rules', 'rug', 'rules', 'alarm']","['age', 'age', 'age', 'age', 'age']","['duties', 'release', 'intend', 'wheezed', 'age']"
251,venus,"['means', 'means', 'means', 'in', 'in']","['me', 'new', 'new', 'me', 'me']","['v', 'v', 'main', 'main', 'phoebe']"
252,cooking,"['cook', 'cooked', 'cooked', 'cook', 'cooked']","['cooked', 'cooked', 'cook', 'cooked', 'cooked']","['cook', 'cook', 'cook', 'king', 'king']"
253,from,"['are', 'are', 'are', 'are', 'are']","['a', 'a', 'a', 'a', 'a']","['for', 'for', 'gifted', 'rear', 'for']"
254,flat,"['island', 'foam', 'lot', 'hay', 'eh']","['path', 'path', 'path', 'path', 'fat']","['fat', 'fat', 'fat', 'fat', 'fat']"
255,shop,"['she', 'she', 'she', 'she', 'she']","['chuck', 'shall', 'shall', 'shall', 'shall']","['shot', 'job', 'hide', 'shot', 'chaplain']"
256,practice,"['back', 'back', 'half', 'half', 'back']","['back', 'back', 'back', 'back', 'back']","['senses', 'actions', 'rout', 'prop', 'actions']"
257,folded,"['old', 'old', 'old', 'old', 'old']","['old', 'old', 'old', 'old', 'old']","['poodle', 'poodle', 'holds', 'quaffed', 'strolled']"
258,meadows,"['known', 'long', 'known', 'gods', 'lattimer']","['udder', 'le', 'owes', 'those', 'islands']","['merlin', 'lentils', 'rise', 'hills', 'logs']"
259,track,"['crash', 'crash', 'crash', 'tribe', 'trapped']","['crash', 'crash', 'crash', 'path', 'path']","['sack', 'backs', 'sack', 'crowd', 'crash']"
260,remarks,"['reverend', 'are', 'are', 'are', 'are']","['are', 'are', 'are', 'are', 'are']","['marks', 'mark', 'murmurs', 'mark', 'mark']"
261,lectures,"['re', 'shaded', 'stretched', 'shot', 'seized']","['uses', 'use', 'years', 'years', 'use']","['tears', 'tears', 'preachers', 'tears', 'tears']"
262,forgive,"['did', 'does', 'did', 'did', 'did']","['of', 'of', 'of', 'of', 'of']","['the', 'give', 'the', 'give', 'give']"
263,taken,"['him', 'him', 'him', 'him', 'him']","['him', 'him', 'him', 'him', 'him']","['take', 'take', 'take', 'take', 'take']"
264,metal,"['little', 'little', 'little', 'little', 'little']","['little', 'little', 'little', 'little', 'little']","['little', 'little', 'little', 'little', 'little']"
265,breaking,"['reign', 'anger', 'reign', 'evening', 'anger']","['ring', 'ring', 'ring', 'ring', 'ring']","['lean', 'bean', 'bean', 'lean', 'evening']"
266,miniature,"['owner', 'pyncheon', 'pyncheon', 'modern', 'nation']","['edition', 'pyncheon', 'temperament', 'pyncheon', 'community']","['lineage', 'traditions', 'ginger', 'minute', 'in']"
267,color,"['karl', 'karl', 'all', 'all', 'all']","['karl', 'karl', 'called', 'called', 'hollow']","['cover', 'karl', 'karl', 'colour', 'clerk']"
268,an,"['in', 'in', 'in', 'in', 'in']","['on', 'on', 'on', 'on', 'on']","['and', 'and', 'and', 'and', 'and']"
269,band,"['man', 'man', 'man', 'man', 'man']","['man', 'man', 'man', 'man', 'man']","['hand', 'hand', 'hand', 'hand', 'hand']"
270,hear,"['ear', 'ear', 'ear', 'ear', 'ear']","['here', 'here', 'here', 'here', 'here']","['here', 'here', 'here', 'here', 'here']"
271,cracked,"['gas', 'tar', 'gas', 'raw', 'our']","['back', 'back', 'back', 'back', 'back']","['crowd', 'crowd', 'crowd', 'crowd', 'crowd']"
272,someone,"['known', 'men', 'known', 'no', 'no']","['one', 'one', 'one', 'one', 'one']","['one', 'one', 'one', 'one', 'one']"
273,discovery,"['robber', 'lay', 'mosaic', 'rough', 'were']","['robbers', 'of', 'of', 'of', 'seize']","['discussed', 'disposed', 'discover', 'the', 'the']"
274,history,"['he', 'he', 'he', 'he', 'he']","['his', 'his', 'his', 'his', 'his']","['histories', 'deity', 'matron', 'sierra', 'humanity']"
275,prophetic,"['property', 'an', 'touch', 'an', 'an']","['ticket', 'ticket', 'fight', 'pick', 'price']","['a', 'federal', 'rout', 'a', 'a']"
276,was,"['we', 'we', 'we', 'we', 'we']","['eyes', 'eyes', 'eyes', 'eyes', 'eyes']","['us', 'us', 'us', 'us', 'us']"
277,lay,"['leave', 'leave', 'leave', 'leave', 'leave']","['leave', 'leave', 'leave', 'leave', 'leave']","['laid', 'laid', 'laid', 'laid', 'laid']"
278,follows,"['wound', 'wound', 'all', 'wound', 'all']","['us', 'us', 'us', 'us', 'us']","['schloss', 'false', 'false', 'fool', 'solve']"
279,italian,"['had', 'had', 'had', 'had', 'had']","['e', 'a', 'a', 'a', 'desires']","['in', 'in', 'in', 'in', 'in']"
280,mount,"['on', 'on', 'on', 'on', 'on']","['out', 'out', 'out', 'out', 'out']","['mall', 'my', 'my', 'my', 'my']"
281,association,"['urgency', 'idylls', 'season', 'flash', 'is']","['she', 'she', 'she', 'she', 'she']","['species', 'species', 'species', 'slices', 'slices']"
282,abbe,"['morrel', 'morrel', 'morrel', 'morrel', 'mine']","['eye', 'eye', 'eye', 'on', 'eye']","['eye', 'eye', 'eye', 'eye', 'eye']"
283,paid,"['pay', 'pay', 'pay', 'pay', 'pay']","['pay', 'pay', 'pay', 'pay', 'pay']","['pay', 'pay', 'pay', 'pay', 'pay']"
284,altogether,"['all', 'all', 'all', 'all', 'all']","['all', 'all', 'all', 'all', 'all']","['all', 'all', 'all', 'all', 'all']"
285,civilization,"['incarnation', 'warrior', 'age', 'invited', 'raw']","['usual', 'usual', 'creation', 'incarnation', 'usual']","['fantasies', 'creation', 'scriptures', 'creation', 'situation']"
286,sometimes,"['hung', 'some', 'some', 'some', 'some']","['some', 'some', 'some', 'some', 'some']","['some', 'some', 'some', 'some', 'some']"
287,decanters,"['handed', 'contradiction', 'commands', 'he', 'he']","['handed', 'commands', 'haired', 'commander', 'handled']","['contingent', 'ink', 'king', 'king', 'king']"
288,brown,"['our', 'our', 'our', 'our', 'our']","['roundel', 'roundel', 'round', 'round', 'round']","['round', 'round', 'round', 'round', 'round']"
289,waste,"['us', 'us', 'us', 'us', 'us']","['face', 'face', 'face', 'face', 'face']","['face', 'face', 'face', 'taste', 'faced']"
290,marked,"['more', 'more', 'more', 'more', 'more']","['more', 'more', 'more', 'more', 'our']","['mark', 'mark', 'mark', 'mark', 'lock']"
291,to,"['two', 'two', 'two', 'two', 'two']","['two', 'two', 'two', 'two', 'two']","['two', 'two', 'two', 'two', 'two']"
292,daguerreotype,"['veil', 'aware', 'daylight', 'parlor', 'hoe']","['very', 'very', 'very', 'very', 'very']","['a', 'a', 'a', 'a', 'a']"
293,hilda,"['had', 'had', 'had', 'had', 'had']","['held', 'held', 'held', 'held', 'held']","['his', 'his', 'his', 'his', 'his']"
294,difficult,"['pall', 'avoided', 'book', 'forgot', 'book']","['feel', 'feel', 'felt', 'little', 'little']","['the', 'the', 'the', 'the', 'the']"
295,apostles,"['iona', 'iona', 'whole', 'whole', 'whole']","['process', 'loss', 'pavel', 'costly', 'house']","['awls', 'loss', 'cause', 'cause', 'cause']"
296,vigour,"['grew', 'very', 'very', 'very', 'very']","['grew', 'vivid', 'very', 'grew', 'very']","['very', 'very', 'grew', 'very', 'very']"
297,presently,"['middle', 'a', 'was', 'a', 'a']","['violently', 'hardly', 'were', 'a', 'a']","['patiently', 'ancestors', 'inconsistent', 'present', 'moments']"
298,narrow,"['are', 'are', 'are', 'are', 'are']","['hour', 'hour', 'hour', 'hour', 'hour']","['sunrise', 'now', 'known', 'hunter', 'now']"
299,become,"['come', 'come', 'come', 'come', 'come']","['come', 'come', 'come', 'come', 'come']","['come', 'come', 'comely', 'come', 'come']"
300,gwynplaine,"['in', 'in', 'in', 'in', 'in']","['green', 'green', 'green', 'green', 'green']","['wind', 'mane', 'wind', 'wind', 'wind']"
301,rest,"['us', 'us', 'us', 'us', 'us']","['restless', 'restless', 'wry', 'address', 'successfully']","['restless', 'restless', 'restaurants', 'restaurants', 'is']"
302,really,"['you', 'you', 'you', 'you', 'you']","['little', 'little', 'little', 'little', 'little']","['only', 'only', 'only', 'only', 'only']"
303,traveling,"['lined', 'emperors', 'i', 'i', 'i']","['lined', 'rear', 'loyally', 'ride', 'leading']","['loaf', 'troubled', 'lined', 'traveled', 'ghoul']"
304,destroyed,"['s', 'instance', 'meant', 'chilled', 'gasped']","['hide', 'bride', 'cry', 'cry', 'start']","['structure', 'mode', 'mode', 'mode', 'mode']"
305,democratic,"['captured', 'problem', 'cannon', 'picket', 'mark']","['trap', 'trap', 'trap', 'crept', 'cramp']","['sack', 'credit', 'aristocratic', 'comrade', 'comrade']"
306,expire,"['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']","['beer', 'matter', 'sierra', 'matter', 'superiors']"
307,both,"['load', 'roses', 'those', 'bred', 'those']","['ghoul', 'o', 'o', 'o', 'o']","['loaf', 'ghoul', 'all', 'loathe', 'allurements']"
308,et,"['its', 'a', 'a', 'a', 'of']","['at', 'at', 'at', 'at', 'at']","['at', 'at', 'at', 'at', 'at']"
309,border,"['moira', 'reign', 'moira', 'order', 'reign']","['water', 'water', 'water', 'water', 'water']","['beer', 'river', 'river', 'water', 'war']"
310,whisper,"['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']","['fervor', 'ardor', 'sward', 'collar', 'ardour']"
311,follow,"['allowed', 'awls', 'showered', 'loyally', 'well']","['for', 'for', 'for', 'for', 'for']","['all', 'quarrel', 'all', 'all', 'all']"
312,sanguinary,"['indian', 'indian', 'indian', 'indian', 'indian']","['main', 'mary', 'mary', 'mary', 'mary']","['semi', 'skinny', 'missionaries', 'mating', 'bohemian']"
313,douglas,"['big', 'big', 'big', 'views', 'ruby']","['big', 'big', 'big', 'touches', 'good']","['deadly', 'lids', 'blue', 'blue', 'blue']"
314,virgilius,"['desires', 'loyally', 'are', 'you', 'are']","['loyally', 'years', 'years', 'years', 'years']","['de', 'ancestors', 'sponsa', 'gifted', 'in']"
315,chopped,"['fish', 'salad', 'salad', 'salad', 'hide']","['crash', 'crash', 'chat', 'path', 'path']","['marked', 'hide', 'hide', 'chop', 'cow']"
316,restrained,"['in', 'in', 'in', 'in', 'in']","['strange', 'strange', 'strange', 'strange', 'strange']","['serge', 'revered', 'ensured', 'strange', 'strange']"
317,tall,"['all', 'all', 'all', 'all', 'all']","['all', 'all', 'all', 'all', 'all']","['all', 'all', 'all', 'all', 'all']"
318,contempt,"['him', 'him', 'him', 'him', 'him']","['him', 'him', 'him', 'him', 'him']","['contentedly', 'attention', 'attention', 'pyncheon', 'pyncheon']"
319,servants,"['are', 'are', 'are', 'adjust', 'are']","['first', 'earn', 'first', 'first', 'first']","['records', 'sail', 'reserves', 'ancestors', 'descend']"
320,intelligence,"['sydney', 'sydney', 'an', 'hood', 'useless']","['in', 'uns', 'in', 'in', 'in']","['fantasies', 'intelligent', 'salad', 'salad', 'salad']"
321,puffy,"['he', 'he', 'he', 'he', 'he']","['few', 'few', 'few', 'few', 'few']","['icy', 'tough', 'fifth', 'polar', 'roughly']"
322,approaching,"['an', 'an', 'an', 'an', 'an']","['direction', 'joe', 'trousers', 'in', 'kitchen']","['approach', 'approach', 'cookery', 'program', 'reposing']"
323,apartment,"['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']","['part', 'part', 'horton', 'horton', 'were']"
324,excitement,"['nile', 'wonder', 'autumn', 'general', 'twilight']","['it', 'it', 'it', 'it', 'it']","['flanks', 'stick', 'trice', 'stick', 'cat']"
325,lost,"['last', 'last', 'last', 'last', 'last']","['loss', 'loss', 'last', 'last', 'last']","['last', 'last', 'last', 'last', 'last']"
326,hers,"['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']"
327,revealed,"['rolled', 'nearly', 'roll', 'revered', 'rolled']","['rolled', 'rolled', 'avail', 'reveal', 'old']","['of', 'of', 'avail', 'rode', 'of']"
328,now,"['on', 'on', 'on', 'on', 'on']","['the', 'the', 'the', 'the', 'the']","['man', 'man', 'man', 'rhyme', 'man']"
329,returned,"['her', 'her', 'her', 'her', 'her']","['turns', 'turned', 'turned', 'turned', 'turned']","['return', 'return', 'return', 'return', 'return']"
330,but,"['be', 'be', 'be', 'be', 'be']","['be', 'be', 'be', 'be', 'be']","['it', 'it', 'it', 'it', 'it']"
331,wash,"['ought', 'ought', 'ought', 'ought', 'were']","['ought', 'ought', 'ought', 'ought', 'ought']","['watched', 'watched', 'watched', 'watched', 'watchful']"
332,free,"['freed', 'rear', 'plumb', 'eh', 'stacy']","['freed', 'four', 'four', 'four', 'four']","['fearing', 'fearing', 'afraid', 'afraid', 'few']"
333,prescribed,"['our', 'our', 'our', 'our', 'our']","['tried', 'tried', 'rules', 'pranks', 'rules']","['suppressed', 'served', 'serge', 'crushed', 'provide']"
334,virtue,"['she', 'she', 'she', 'she', 'she']","['two', 'two', 'two', 'two', 'two']","['circle', 'career', 'scriptures', 'dough', 'deserve']"
335,crying,"['lying', 'ground', 'han', 'are', 'mary']","['cry', 'cry', 'cry', 'cry', 'trying']","['drawing', 'lying', 'towering', 'cry', 'drawing']"
336,railway,"['mary', 'mary', 'mary', 'mary', 'air']","['way', 'way', 'way', 'way', 'way']","['way', 'way', 'way', 'way', 'way']"
337,calculus,"['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']"
338,weeds,"['ease', 'you', 'you', 'you', 'you']","['bees', 'league', 'lee', 'ease', 'wheezed']","['bees', 'bees', 'bee', 'wheezed', 'ye']"
339,cease,"['seems', 'seems', 'sifted', 'seems', 'seems']","['see', 'see', 'see', 'see', 'see']","['see', 'see', 'see', 'see', 'see']"
340,ten,"['in', 'in', 'him', 'in', 'him']","['in', 'in', 'in', 'in', 'in']","['in', 'in', 'in', 'in', 'in']"
341,dry,"['rod', 'rhein', 'rhein', 'rhein', 'rod']","['eye', 'eye', 'eye', 'eye', 'eye']","['udder', 'drive', 'drive', 'drive', 'drive']"
342,hunt,"['whole', 'whole', 'whole', 'plans', 'sent']","['not', 'not', 'not', 'not', 'not']","['hof', 'hof', 'hulking', 'hoe', 'not']"
343,reduced,"['use', 'use', 'use', 'use', 'use']","['used', 'used', 'used', 'used', 'used']","['used', 'used', 'used', 'used', 'used']"
344,fighting,"['e', 'name', 'my', 'my', 'my']","['five', 'five', 'five', 'five', 'five']","['feeding', 'fine', 'v', 'v', 'thinking']"
345,custom,"['coast', 'christian', 'christian', 'stolen', 'flung']","['coast', 'cousins', 'talked', 'coast', 'talks']","['cousins', 'sunrise', 'symbols', 'assistant', 'morsel']"
346,ladies,"['he', 'he', 'he', 'he', 'he']","['lady', 'lady', 'lady', 'lady', 'lady']","['lady', 'lady', 'lady', 'lady', 'lady']"
347,utterly,"['emperors', 'countless', 'utter', 'wonderful', 'health']","['utter', 'hardly', 'hardly', 'utter', 'uttering']","['utter', 'utter', 'utter', 'utter', 'utter']"
348,physical,"['gold', 'gold', 'gulf', 'glued', 'nobleman']","['dignities', 'real', 'difficult', 'a', 'scientific']","['little', 'little', 'little', 'little', 'little']"
349,channel,"['now', 'now', 'now', 'now', 'now']","['wrong', 'anyway', 'mom', 'rails', 'army']","['nile', 'now', 'hall', 'now', 'now']"
350,powder,"['hour', 'hour', 'hour', 'oil', 'beer']","['hour', 'hour', 'hour', 'hour', 'hour']","['beer', 'river', 'water', 'river', 'water']"
351,throw,"['grew', 'grew', 'rear', 'arose', 'charm']","['threw', 'threw', 'threw', 'threw', 'threw']","['thrown', 'thrown', 'thrown', 'thrown', 'thrown']"
352,consider,"['person', 'returned', 'returned', 'person', 'return']","['the', 'the', 'the', 'the', 'the']","['accrue', 'deserve', 'admission', 'instance', 'volitions']"
353,quarters,"['rolled', 'are', 'are', 'are', 'roll']","['quarter', 'quarter', 'quartered', 'quarter', 'cord']","['quarter', 'quarter', 'quarter', 'corner', 'rope']"
354,has,"['his', 'his', 'his', 'his', 'his']","['had', 'had', 'had', 'had', 'had']","['is', 'is', 'is', 'is', 'is']"
355,alter,"['all', 'all', 'all', 'all', 'all']","['all', 'all', 'all', 'all', 'all']","['all', 'all', 'all', 'all', 'all']"
356,paying,"['mayonnaise', 'mayonnaise', 'bay', 'in', 'mayonnaise']","['being', 'being', 'being', 'being', 'being']","['pay', 'pay', 'pay', 'pay', 'pay']"
357,upset,"['chef', 'chef', 'chefs', 'swiss', 'luscious']","['such', 'such', 'such', 'such', 'such']","['up', 'up', 'up', 'up', 'up']"
358,described,"['organized', 'jean', 'service', 'national', 'god']","['shrug', 'wry', 'astride', 'roared', 'rath']","['strive', 'drawn', 'derived', 'confounded', 'declared']"
359,shell,"['shall', 'shall', 'shallop', 'shall', 'shall']","['shall', 'shall', 'shall', 'shall', 'shall']","['chef', 'chefs', 'chef', 'shall', 'shall']"
360,dismissed,"['seditious', 'his', 'his', 'his', 'his']","['seditious', 'missus', 'missus', 'missus', 'missus']","['seditious', 'sense', 'assistant', 'sense', 'justice']"
361,into,"['in', 'in', 'and', 'and', 'in']","['in', 'in', 'in', 'in', 'in']","['in', 'in', 'in', 'in', 'in']"
362,stronghold,"['roar', 'song', 'long', 'roared', 'falls']","['long', 'long', 'long', 'long', 'long']","['long', 'hull', 'long', 'long', 'long']"
363,volunteers,"['all', 'air', 'air', 'air', 'line']","['ears', 'ears', 'ears', 'air', 'ears']","['dormitory', 'tumblers', 'jersey', 'chain', 'tomb']"
364,feed,"['sea', 'bee', 'sea', 'see', 'sea']","['feet', 'sea', 'feet', 'sea', 'feet']","['phoebe', 'tea', 'phoebe', 'phoebe', 'phoebe']"
365,native,"['in', 'in', 'in', 'in', 'in']","['in', 'in', 'in', 'in', 'in']","['idiom', 'aidan', 'in', 'in', 'in']"
